rating	text
3	lovely delicate, fragrant rhone wine. polished leather and strawberries. perhaps a bit dilute, but good for drinking now. 
2	liquorice, cherry fruit. simple and coarse at the finish. 
1	thin and completely uninspiring. 
0	rough. 
3	big, fat, textured chardonnay - nuts and butterscotch. a slightly odd metallic/cardboard finish, but probably 
3	surprisingly young feeling and drinking well, but without any great complexity. a good 
4	charming, violet-fragranced nose. classic guigal cote rotie. 
4	good grip and a touch of rusticity on the length. va showing through. on the downhill slope. just 
3	just about holding together - drying out a touch at the finish. not as good as i thought this would be.  a good 
3	in your face wine - rather obvious and simple (although some structure did begin to show through). 
3	some volatility, and all over the place on the nose and palate. it did come together more with time. 
4	gummy nose, merlot-style sweetness. good wine, but not in a style i was expecting. 
3	hot on the palate, but good balance with some maturity. 
3	this has a rhonish air to it, feels quite young, but it is also a bit simple. 
2	liquorice. fruit beginning to dry out. 
3	good sweetly fragranced wine. drink now. top 
1	a big nose of public swimming pools - bizarre (some might say funky). 
3	very vinous - burgundy with bubbles, to some extent and so a bit much in some ways.  i suspect it needs time to mellow - it will be interesting to see how this develops (this bottle was disgorged only last year).   if all goes well ()
3	all quite refined and delicate, appley pinot fruit, autolytic flavours. another fairly recent disgorgement after 4 years in cellars (credit the producer for an excellent back label), it just seems a bit lacking in intensity despite the obvious quality. perhaps this will develop but for now a good 
2	good fruit - nice acidity. pretty intense although it seems quite evolved for a young wine - i fear it may go down the ozzy route of rather early flabby kerosene flavours.  top  
2	curiously sauvignon-like - quite rich. odd balance - people were saying this is a vineyard huet took on and then abandoned. good wine but it doesn't seem to have the class of their major wines. a low ()
3	pretty nice.   clean, rich, yet decently taught.  a credit to the appelation. bare 
3	very light and delicate - decent but a bit attenuated. i have had better bottles.  
3	dry, savoury, quite succulent. pleasantly high-toned, nervy, and a bit awkward.  a wine with a sense of place and hence enjoyable. 
3	curiously quiet, but concentration and fruit quality are all there.  maybe just in a dull phase - perhaps it would have shown better decanted and allowed a little air.  
2	leafy, dry, decent balance. good wine but i doubt it's going anywhere much.  pleasant, and perhaps it would reward further attention.  
2	quite baked, decent concentration - slightly hot finish. i recall having had better from this producer.  
3	refined, smooth sweet (to a controlled extent) - very drinkable. forward fruit but with the balance to hold it - the best of the new world reds, to my palate. top 
3	a bit anonymous in some ways, but very nicely poised fairly concentrated dessert wine - from the south of france somewhere, i guess. i suspect this would repay more attention and on that basis 
4	beautifully refined.  complex, elegant, long with the amazing precision so typical of the producer. lovely.   
3	eccentric - very rancio - complex and interesting - i need more time with this but for now  
3	raspingly dry, mineral, appley, severe, touch of honey developing, long.  ()
1	very fresh, lifted, aromatic. top 
1	dry, clean, unassuming. touch of spritz. 
3	fruity, peachy. dry again. more richness. nice sense of place. i could even think of 
2	quite mouthfilling - dry, fruity. nice.  
